SUA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
2000,1329,1451,884,569,797,260,98,5381,1332,1693,1057,693,830,247,105,5950,1733,1801,1056,651,783,195,65,6292,22717,24856,15667,10561,12802,3303,1042,90944,142,201,109,83,54,8,5,602,27247,30005,18773,12550,15266,4013,1313,109168,89,151,123,100,131,52,24,665,262,482,340,274,282,80,31,1745,123,248,200,177,207,50,37,1038,3489,5397,3828,2906,3225,709,224,19780,190,194,144,101,63,13,3,709,4138,6480,4644,3560,3900,906,312,23939,31388,36486,23414,16112,19167,4919,1623,133106
2001,195,182,93,59,53,13,14,603,91,110,64,41,52,15,9,381,81,90,37,30,33,31,8,308,1001,965,565,357,396,165,64,3513,0,6,0,0,0,0,0,9,1366,1360,760,494,534,222,92,4822,17,15,14,3,3,5,0,59,22,30,33,18,22,10,8,140,14,24,14,5,14,8,4,88,145,254,202,125,145,55,29,949,8,4,0,9,0,0,0,21,208,328,266,157,182,71,39,1256,1572,1680,1027,652,717,297,136,6078
2002,46,58,30,15,15,7,6,166,41,34,18,12,27,0,0,131,42,31,22,12,8,0,0,107,537,468,281,187,225,49,15,1764,5,0,0,0,0,0,0,8,659,597,344,224,272,65,18,2175,0,4,0,0,4,0,0,12,10,13,7,14,3,0,0,43,0,5,5,9,0,0,0,27,153,201,116,106,121,20,9,720,6,14,3,4,0,0,0,25,173,238,136,123,135,22,4,832,831,832,477,349,403,88,24,3006
2003,600,597,298,143,217,70,45,1973,253,279,156,111,137,43,20,998,284,284,161,110,105,42,8,1006,3896,3957,2362,1548,1834,627,205,14432,14,18,5,5,3,0,0,47,5051,5142,2984,1933,2302,777,280,18453,38,70,50,28,50,21,12,271,64,119,83,56,63,28,18,427,24,54,57,34,39,12,3,223,956,1316,907,672,820,190,86,4950,26,44,23,21,5,0,0,121,1111,1603,1109,819,975,256,112,5988,6159,6745,4090,2748,3279,1031,388,24438
2004,610,608,262,170,233,124,48,2067,209,190,115,84,106,38,19,764,181,206,98,73,73,26,12,682,3735,3667,2078,1449,1700,565,219,13415,28,16,12,5,3,0,0,66,4764,4685,2570,1790,2123,753,307,16985,47,56,43,41,45,23,13,263,67,113,71,30,59,18,4,364,17,39,33,29,36,12,7,173,890,1313,876,663,697,175,72,4684,38,40,24,11,7,0,0,122,1062,1564,1044,775,846,231,90,5608,5826,6250,3617,2564,2964,981,399,22597
2005,16,24,12,4,9,0,0,68,46,38,30,19,27,9,0,169,34,31,10,11,11,0,0,100,279,297,152,119,133,39,12,1030,3,0,0,0,0,0,0,6,383,389,204,154,178,49,10,1372,0,3,4,0,13,3,0,26,10,18,14,17,15,3,0,62,3,6,11,3,5,0,0,29,50,92,71,55,61,17,7,350,4,6,0,3,3,0,0,16,67,123,100,74,95,18,6,478,451,509,307,231,271,69,23,1854
2006,35,56,17,16,24,8,0,164,25,28,13,0,6,4,0,83,29,31,10,5,3,0,0,77,444,401,271,175,228,66,22,1599,0,4,3,0,0,0,0,8,534,516,322,200,259,80,27,1930,0,14,12,4,5,5,0,39,11,13,8,3,9,0,0,42,3,8,0,4,4,0,0,23,93,129,78,68,79,10,3,459,0,0,3,0,0,0,0,16,108,171,104,79,97,16,3,579,643,684,426,278,356,94,23,2507
2007,71,65,34,15,18,3,4,211,35,39,27,7,23,10,0,136,30,49,20,14,20,8,0,143,779,765,495,329,447,124,30,2967,0,0,4,0,0,0,0,14,923,915,583,365,503,145,32,3471,0,7,13,3,7,0,0,28,12,16,7,7,6,0,0,53,9,5,6,9,9,0,0,42,156,233,164,106,139,17,7,828,9,4,3,0,6,0,0,14,187,259,192,133,160,17,7,962,1105,1182,775,497,667,163,46,4433
2008,1916,1790,895,625,725,425,188,6559,1088,1110,626,381,498,232,102,4041,1184,1140,611,321,397,179,81,3913,10074,9880,5525,3621,4437,1775,768,36090,49,45,34,20,16,5,0,159,14306,13961,7691,4968,6077,2620,1145,50775,130,220,161,129,186,108,68,1000,167,307,227,167,190,85,30,1174,71,148,136,91,121,42,36,648,1383,2328,1566,1197,1560,510,223,8772,73,83,46,29,17,10,0,262,1829,3084,2138,1610,2081,765,357,11858,16135,17047,9827,6581,8155,3381,1505,62630
2009,57,73,38,27,33,18,3,244,99,118,80,59,73,32,7,480,97,131,52,52,55,21,21,431,894,1169,699,436,584,261,87,4126,3,0,0,0,0,0,0,11,1155,1491,878,567,749,339,112,5287,3,4,6,10,5,8,0,39,8,19,12,8,13,8,7,80,6,5,13,8,19,8,0,56,63,116,90,83,111,37,15,517,5,3,0,0,0,0,0,7,88,152,116,116,145,60,24,704,1242,1646,992,680,894,396,142,5990
