SA2_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
201011001,29,5,5,0,36,14,0,0,0,14,9,0,0,4,12,5,5,13,0,21,32,9,25,0,73,20,3,51,4,83,142,15,64,4,225,109,28,88,9,229,138,61,100,4,309,123,102,88,0,307,72,124,64,0,260,104,125,59,0,295,188,343,60,3,595,147,325,35,3,511,108,320,16,6,449,66,209,5,0,284,115,413,17,0,552,61,163,56,0,279,13,10,12,0,35,1494,2259,773,43,4568
201011002,15,3,0,0,19,5,0,0,0,7,5,4,4,0,10,7,0,10,0,13,24,0,13,0,43,25,5,24,0,56,102,11,37,5,144,86,6,55,5,150,95,28,64,7,187,148,54,42,6,252,94,43,41,5,187,97,49,19,3,162,171,114,57,3,346,112,134,20,0,269,95,128,16,0,236,78,85,3,4,169,188,395,19,0,605,42,86,35,0,164,17,0,4,0,26,1404,1147,469,42,3054
201011005,13,0,3,0,20,6,0,3,0,13,9,0,4,0,9,9,0,0,0,7,17,0,3,0,27,12,0,13,0,30,82,0,25,3,116,48,15,20,7,91,87,21,27,0,141,81,32,29,3,141,41,37,34,0,110,57,43,17,0,110,94,134,27,0,254,73,139,9,0,217,53,124,6,0,185,24,89,0,0,116,89,217,5,0,310,18,59,19,0,104,6,3,3,0,14,822,925,248,14,2011
201011006,15,0,7,0,20,4,0,0,0,13,9,0,10,0,14,3,0,13,0,12,17,0,24,0,48,25,3,41,5,66,135,18,58,0,208,73,26,76,7,182,87,53,74,4,224,101,90,58,11,262,65,87,43,4,202,91,136,38,4,263,185,239,42,15,483,93,175,23,10,297,65,123,16,0,202,30,59,9,0,95,38,100,0,0,141,38,74,34,0,148,21,11,8,0,41,1093,1201,586,52,2931
201011007,6,0,0,0,11,3,0,0,0,5,0,0,0,0,4,0,0,0,0,0,7,0,3,0,13,12,5,4,0,16,53,8,4,0,72,37,9,6,0,47,32,21,16,5,71,41,29,19,4,89,24,29,5,0,63,22,36,8,4,70,65,113,9,0,189,44,97,0,0,138,38,77,0,0,108,8,44,6,0,59,25,109,3,0,136,17,67,10,0,99,7,0,3,0,18,452,645,102,9,1209
201011008,33,0,17,0,45,11,0,4,0,20,4,0,11,0,20,10,0,19,0,31,42,3,48,0,95,27,6,96,0,131,240,33,117,10,402,150,39,124,8,327,155,77,110,11,359,161,123,107,14,402,95,117,62,8,284,118,122,38,7,286,204,224,61,11,500,119,165,20,0,312,62,134,10,0,202,23,78,3,0,102,39,125,8,0,179,51,93,65,0,210,29,14,30,7,76,1572,1348,957,85,3963
201011481,6,0,6,0,21,0,3,0,0,4,4,0,5,0,5,4,4,10,0,13,23,0,26,0,56,20,4,60,0,79,128,15,50,0,192,102,25,87,10,227,90,59,64,6,225,132,66,57,5,261,66,59,29,5,159,76,60,27,7,169,141,114,33,4,289,88,109,12,0,209,41,75,13,0,129,28,49,4,0,89,42,99,7,0,149,32,60,31,0,126,16,5,3,0,19,1055,802,521,43,2418
201011482,16,5,8,0,28,7,0,0,0,14,6,0,3,0,9,8,0,9,0,13,27,4,29,0,58,25,7,40,0,72,147,16,52,4,221,111,24,77,5,212,139,42,65,11,255,166,72,58,8,297,91,89,47,6,229,117,93,28,0,240,208,230,55,11,497,159,242,30,9,427,129,236,10,5,381,62,147,6,0,218,148,409,5,0,564,56,112,23,5,194,22,12,6,0,40,1648,1734,547,49,3976
201011483,12,0,12,0,27,5,0,4,0,9,0,0,13,0,14,0,3,7,0,13,26,8,31,0,65,19,11,66,0,100,146,17,68,3,239,112,23,65,7,202,125,38,87,3,251,151,75,70,6,304,75,67,44,3,191,71,86,30,3,192,167,180,52,9,409,107,172,20,5,301,79,148,6,0,233,46,70,6,0,126,61,144,7,0,216,43,87,36,0,174,13,12,4,0,23,1266,1147,614,49,3076
201011484,17,0,11,0,33,6,0,4,0,15,0,4,5,0,12,0,0,28,0,35,31,5,56,0,101,33,9,127,9,168,216,16,111,5,346,132,45,136,6,321,103,66,133,10,315,156,124,101,10,395,91,98,60,5,251,72,85,38,6,205,170,169,51,6,397,84,103,17,0,201,30,71,13,0,109,14,38,0,0,53,19,51,6,0,77,50,67,52,3,168,46,16,20,3,83,1283,964,976,65,3287
