POW_SA4_CODE_2021,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
201,566,0,6,5,5,576,1776,17,41,5,6,1841,2280,111,123,9,7,2533,2318,249,149,14,9,2737,2099,329,182,24,16,2647,2008,359,194,32,12,2603,2046,418,223,41,17,2739,1945,415,218,42,30,2641,1710,351,228,53,27,2366,1160,269,201,54,25,1715,354,134,127,28,19,664,66,65,73,33,8,244,16,30,49,28,8,129,18339,2736,1796,370,188,23434,1333,0,6,18,9,1360,1069,0,34,5,3,1116,714,14,62,8,11,798,505,26,59,4,4,605,410,44,77,10,8,543,328,45,62,12,0,451,367,55,83,16,10,532,327,62,115,16,11,530,410,74,106,22,7,618,459,78,151,31,8,736,351,77,113,31,7,578,157,60,70,38,10,329,50,27,50,66,7,198,6482,569,986,285,87,8405,1210,66,119,37,22,1458,435,36,53,34,78,639,26466,3407,2957,728,381,33937,234,0,0,0,0,233,1197,0,19,7,8,1221,1773,18
202,540,0,3,0,0,548,1758,20,27,4,6,1817,2362,57,118,3,11,2547,2413,168,148,11,16,2753,2225,288,163,21,14,2715,2026,312,209,23,12,2580,2080,360,215,28,17,2700,2031,361,253,31,25,2694,1721,286,228,32,28,2297,1263,243,203,47,17,1770,394,144,138,37,11,723,65,54,61,37,8,223,10,37,47,29,8,135,18885,2325,1813,303,176,23511,1361,0,9,16,5,1390,993,0,18,5,8,1029,611,9,50,0,9,672,478,22,62,4,5,571,415,28,73,5,4,531,402,48,78,8,4,536,337,35,98,8,5,488,370,61,110,15,17,571,398,79,142,16,12,637,516,74,168,32,11,805,354,66,136,42,10,608,141,53,88,40,4,322,52,30,52,51,8,195,6433,517,1079,246,97,8365,1199,53,92,43,23,1413,439,35,46,32,67,616,26962,2932,3025,622,366,33905,206,0,0,0,0,209,1153,3,18,0,0,1182,1734,14
203,826,3,4,0,4,835,3125,34,79,0,17,3259,4597,224,235,8,25,5079,4778,473,347,19,31,5652,4581,702,351,32,36,5693,3987,707,328,30,29,5085,3937,768,354,43,27,5124,3641,720,334,33,29,4769,3139,597,308,49,32,4119,2004,429,274,40,26,2782,659,218,142,31,13,1068,114,106,64,25,9,317,38,52,42,24,7,170,35421,5048,2860,339,275,43939,2646,9,13,21,9,2697,2514,11,78,16,9,2626,1617,38,152,7,5,1821,895,67,150,12,7,1124,811,96,168,11,14,1102,601,105,161,25,9,906,607,130,199,28,12,980,573,110,191,20,12,903,694,150,221,28,7,1099,780,154,270,29,22,1264,605,159,207,51,11,1036,247,106,158,57,8,578,121,49,72,53,11,311,12717,1195,2049,363,128,16448,2256,143,197,61,22,2681,784,71,84,24,121,1080,51178,6450,5194,788,545,64153,300,4,0,0,6,307,2208,10,27,3,7,2250,3778,40
204,956,0,0,0,5,964,2107,13,43,3,10,2184,2444,98,163,9,18,2731,2410,220,201,10,14,2859,2305,269,233,18,23,2844,2224,309,222,42,19,2818,2313,373,262,46,27,3027,2312,427,317,54,28,3136,2122,410,324,87,33,2975,1520,322,311,82,37,2274,536,187,246,82,30,1078,127,87,151,100,10,477,33,60,153,72,21,334,21405,2767,2633,622,271,27694,1410,4,8,24,0,1454,926,6,18,3,4,955,686,9,35,0,4,734,504,26,51,3,4,588,380,29,69,8,7,491,350,38,74,9,5,482,370,49,81,14,8,527,355,82,107,24,4,569,465,79,146,31,14,731,569,106,182,52,21,936,440,83,182,86,15,810,199,57,139,106,11,512,85,35,110,114,22,368,6745,603,1197,484,125,9145,1396,93,157,64,36,1742,594,42,84,53,88,867,30143,3505,4065,1219,519,39451,378,0,0,0,3,385,1292,9,14,3,7,1315,1626,13
205,1051,0,8,3,9,1069,2760,31,68,4,20,2884,3587,128,247,10,20,3998,3545,328,289,29,30,4209,3393,418,379,41,39,4276,2981,470,377,47,39,3918,3035,548,444,54,53,4126,3205,571,448,71,58,4354,3037,467,503,78,47,4127,2101,407,488,106,52,3155,652,241,335,115,45,1386,135,118,181,95,22,550,30,66,138,89,25,353,29504,3792,3914,743,463,38412,2011,8,16,29,10,2071,1219,4,42,16,10,1286,813,14,70,10,3,899,642,31,84,9,4,769,635,52,110,18,14,831,527,66,108,17,9,734,537,76,147,25,10,797,587,91,188,28,13,904,703,89,195,38,13,1039,881,132,283,65,34,1403,581,134,251,92,27,1085,293,89,158,84,19,639,129,52,164,110,22,468,9551,828,1824,544,188,12937,2020,134,225,81,53,2510,893,90,137,66,180,1359,41969,4843,6096,1431,886,55220,445,0,0,0,0,447,1813,5,30,0,8,1863,2484,28
206,844,5,10,3,4,864,13512,131,149,11,21,13815,36490,589,623,36,46,37785,45844,1871,1125,74,76,48984,48410,2899,1225,112,103,52745,40255,3022,1166,110,77,44629,31513,2961,1188,91,78,35830,25760,2863,1055,123,62,29864,18669,2387,976,77,58,22166,11089,1532,706,72,49,13454,3805,896,447,62,27,5227,979,481,235,40,11,1747,212,213,130,28,13,596,277380,19847,9024,831,621,307704,4122,8,52,30,10,4235,12810,131,389,54,34,13415,10110,238,692,31,40,11119,7097,425,779,77,44,8426,5333,549,648,92,31,6654,3891,523,548,94,24,5075,3083,519,581,86,26,4290,2642,536,565,92,24,3857,2557,537,511,105,24,3740,2615,548,556,85,16,3817,1841,467,477,112,19,2913,936,381,327,104,11,1765,421,251,243,109,13,1043,57468,5109,6371,1081,327,70356,13007,558,656,177,153,14552,4476,414,300,163,485,5840,352325,25927,16352,2256,1590,398447,489,0,3,0,0,494,13632,30,69,13,13,13757,38523,218
207,261,0,0,3,0,268,2174,34,61,5,7,2289,4722,149,178,7,3,5065,5548,498,246,38,9,6337,5291,715,299,57,12,6372,4627,836,277,41,14,5793,4101,996,322,50,23,5488,3776,1030,337,59,19,5223,3033,908,319,41,8,4306,2001,634,272,30,9,2949,725,334,171,15,10,1246,201,160,65,12,0,437,62,85,29,10,0,191,36522,6380,2581,365,111,45962,2386,3,65,27,0,2481,3717,30,151,22,8,3933,1935,67,199,21,5,2234,1239,156,204,29,0,1631,924,208,208,52,4,1404,684,186,173,62,4,1109,626,248,169,51,4,1097,604,245,217,53,0,1121,604,291,232,41,17,1185,691,307,281,65,8,1354,528,283,247,51,6,1119,319,210,186,50,7,779,189,141,131,62,4,525,14463,2372,2475,577,78,19965,2063,191,236,58,26,2574,773,105,87,39,113,1112,53824,9045,5382,1038,323,69615,139,0,0,0,0,140,2200,9,28,5,5,2253,5401,62
208,555,5,0,0,0,557,3094,44,56,4,3,3202,5501,228,235,10,13,5992,5906,590,339,35,12,6893,5571,1020,372,48,26,7025,4807,1120,377,50,26,6393,4890,1285,469,72,31,6746,4461,1449,498,64,16,6491,3721,1234,461,52,20,5485,2430,904,384,54,24,3795,956,528,215,30,11,1726,240,266,109,28,3,648,46,119,47,21,3,243,42180,8801,3563,472,190,55208,3139,4,43,25,8,3220,4389,28,149,13,13,4591,2242,66,202,20,12,2543,1301,111,192,18,10,1632,986,186,196,26,7,1401,724,232,214,34,11,1217,729,259,259,55,8,1305,714,304,303,63,8,1391,737,336,301,60,14,1449,816,376,359,47,14,1614,606,334,299,79,3,1322,343,267,205,73,9,893,177,197,137,85,7,605,16909,2703,2851,595,119,23172,2427,206,305,71,38,3045,972,141,114,44,135,1409,62488,11852,6834,1184,482,82836,181,0,0,0,0,184,2431,15,38,3,4,2488,4933,56
209,784,4,8,0,0,799,3454,68,93,8,13,3639,5768,278,306,7,20,6380,6070,738,477,35,31,7348,5814,1011,487,64,29,7407,4995,1095,451,63,27,6628,4792,1109,442,43,18,6408,4459,1143,421,51,20,6095,3820,947,404,58,35,5267,2663,670,295,44,22,3697,1029,356,158,32,17,1586,203,149,83,10,8,457,47,81,35,9,0,182,43904,7656,3663,409,243,55878,3071,10,35,29,13,3155,3683,46,155,21,12,3923,2070,99,284,20,21,2492,1413,159,314,20,12,1920,1207,224,333,35,18,1813,888,216,307,54,16,1476,808,219,296,46,18,1381,773,210,317,47,18,1379,782,255,261,46,15,1355,798,274,310,48,22,1456,584,206,215,45,12,1070,291,128,127,31,8,584,140,93,81,41,3,355,16510,2151,3026,481,185,22356,2303,241,332,76,33,2987,1191,173,141,51,180,1734,63910,10223,7165,1023,639,82955,222,0,0,0,0,225,2583,12,34,4,0,2636,5255,56
210,993,0,3,0,0,1000,4272,70,107,7,10,4468,6935,314,323,12,26,7610,7783,795,415,27,39,9056,7899,1067,410,33,53,9462,6604,1000,386,45,24,8071,6392,1066,389,44,40,7926,6304,1072,369,57,30,7826,5393,948,347,41,30,6770,3515,601,237,31,31,4408,1230,290,95,25,11,1654,228,110,49,21,3,406,68,71,28,13,3,185,57607,7404,3162,359,311,68842,2424,11,17,23,6,2490,3284,51,146,25,18,3519,2226,129,267,9,18,2653,1559,143,308,30,11,2051,1265,218,322,43,18,1867,1019,201,252,32,15,1529,1010,189,259,44,12,1517,1002,213,254,41,18,1526,985,177,250,48,17,1480,918,209,221,35,12,1388,539,129,133,43,9,851,234,106,87,39,3,465,103,70,37,26,0,235,16567,1841,2537,440,172,21559,2741,196,308,67,52,3368,1557,219,175,44,168,2167,78480,9671,6180,920,697,95945,238,0,0,0,0,237,2182,15,21,7,8,2230,4072,51
